Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-06-25,162.80561365192625,164.86595657116584,160.46926170723512,164.64907836914062,3441100,0.0,0
2020-06-26,164.6687870992913,165.75317813226658,159.82849814129682,160.3312530517578,8491200,0.0,0
2020-06-29,161.51421539310292,163.58441098460275,159.89749651746303,163.16050720214844,2658700,0.0,0
2020-06-30,162.24371505427877,167.79379949831036,162.0268368493557,166.66998291015625,4068600,0.0,0
2020-07-01,167.08401301330923,168.30640098747827,163.87028066066517,164.5110626220703,2914100,0.0,0
2020-07-02,166.77841152051886,168.26698606239177,165.5067302316701,166.67984008789062,2271400,0.0,0
2020-07-06,168.6514243769016,169.91325284907037,167.69519287252933,169.71609497070312,2498100,0.0,0
2020-07-07,167.98108228763965,169.755533411969,166.84741311935917,167.36988830566406,2380800,0.0,0
2020-07-08,167.18259163432208,169.83440830610812,166.39394497829076,166.64039611816406,3362600,0.0,0
2020-07-09,167.08401332596557,167.08401332596557,162.3817215589332,163.63369750976562,2977500,0.0,0
2020-07-10,163.64355197172554,164.8856602642767,162.33243014182983,164.02801513671875,2300300,0.0,0
2020-07-13,165.8418959994773,168.53315326376043,164.34348390693953,166.7685546875,2975900,0.0,0
2020-07-14,165.87147567981395,170.14001137968975,165.62502453115263,169.449951171875,3015300,0.0,0
2020-07-15,172.28905448846695,172.98896725095452,170.9582124134976,171.91444396972656,2493000,0.0,0
2020-07-16,171.74686175424048,175.84781209775667,171.50041062843565,174.35923767089844,3319700,0.0,0
2020-07-17,175.31548105447712,179.92905426232335,174.37896972175687,178.6770782470703,6132900,0.0,0
2020-07-20,177.71097841483208,178.47003703659527,173.78746574095902,174.87185668945312,2885700,0.0,0
2020-07-21,175.30562076989332,177.83913058131353,175.30562076989332,176.12384033203125,2230700,0.0,0
2020-07-22,174.82258362135408,177.92787712720582,174.6549986449267,176.83363342285156,2951300,0.0,0
2020-07-23,176.23226455116645,176.97161788368598,170.38643638011067,172.51577758789062,4010600,0.0,0
2020-07-24,173.1467063449953,174.55641463911095,172.23976798613705,173.61988830566406,2720300,0.0,0
2020-07-27,173.07769620761695,176.69559676960893,172.57492630617955,174.30995178222656,2738200,0.0,0
2020-07-28,173.8564740008618,174.76341229291515,171.61869367986432,171.9341583251953,1965800,0.0,0
2020-07-29,171.9637347351069,175.84780676679148,171.8158550387973,175.45347595214844,2736700,0.0,0
2020-07-30,173.37344281092942,173.91563832629421,169.92312685775093,170.34703063964844,2775500,0.0,0
2020-07-31,169.96256252700442,171.2243911212842,165.19127221474747,170.88922119140625,5089500,0.0,0
2020-08-03,171.3919897550525,171.96375823277626,169.22322262580732,169.61753845214844,1982800,0.0,0
2020-08-04,169.44008719760902,171.234243617814,169.0161834283548,171.2145233154297,1719600,0.0,0
2020-08-05,171.9933158100776,175.46335193233537,171.80601054452578,174.9507293701172,3051300,0.0,0
2020-08-06,175.2070161207527,178.0067121178504,174.6845409792431,177.06033325195312,1971400,0.0,0
2020-08-07,177.1293566067526,180.3628094112372,176.60688139189318,180.33322143554688,2192500,0.0,0
2020-08-10,181.14158593976742,184.61162216522774,180.84584156653108,184.1975860595703,3368600,0.0,0
2020-08-11,186.97753331740682,191.13762941305126,185.98187621098293,187.64788818359375,4215200,0.0,0
2020-08-12,189.13644548920553,190.75316421210664,188.06192223115775,189.10687255859375,2870800,0.0,0
2020-08-13,187.30284899895364,188.95899328564417,186.4057633225717,187.02682495117188,2248800,0.0,0
2020-08-14,186.89867607130188,190.88133477137876,186.46491967404765,189.1956024169922,2502700,0.0,0
2020-08-17,190.26025960169576,192.32058730021217,189.6293453528904,191.11790466308594,3563000,0.0,0
